Button,Time
"[['1', 292.5790500640869]]",1540142756.375611
"[['4', 336.37467908859253]]",1540142799.123312
"[['3', 475.6414170265198]]",1540142938.389847
"[['2', 491.49303913116455]]",1540142954.241224
"[['2', 572.3349990844727]]",1540143035.08334
"[['4', 101.35281014442444]]",1540143303.987468
"[['3', 106.052649974823]]",1540143308.00454
"[['1', 144.6327769756317]]",1540143346.584833
"[['1', 190.8458549976349]]",1540143392.832802
"[['2', 198.8661880493164]]",1540143400.817956
"[['2', 93.99256706237793]]",1540143638.66311
"[['4', 142.5766360759735], ['4', 142.76027011871338], ['4', 143.0106770992279], ['4', 143.17648911476135]]",1540143688.829987
"[['3', 57.34801697731018]]",1540143919.921746
"[['3', 25.458554983139038]]",1540144265.200731
"[['3', 90.48028802871704]]",1540144330.872562
"[['2', 122.8401689529419]]",1540144361.631739
"[['1', 192.4328260421753]]",1540144431.175662
"[['3', 41.61013412475586]]",1540144935.002246
"[['3', 46.97814106941223], ['3', 47.26205015182495]]",1540144940.420761
"[['3', 52.479870080947876]]",1540144945.972683
"[['space', 139.1255922317505]]",1540145032.750933
"[['2', 167.91767621040344]]",1540145060.192816
"[['3', 59.155966997146606]]",1540145339.00012
"[['2', 76.97444701194763]]",1540145355.788707
"[['space', 77.19560599327087]]",1540145355.956046
"[['2', 119.82588791847229]]",1540145398.586358
"[['4', 223.01173996925354]]",1540145502.021079
