5.3300 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
5.9391 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112493990>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units='deg', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9392 	EXP 	window1: recordFrameIntervals = False
6.1042 	EXP 	window1: recordFrameIntervals = True
6.2887 	EXP 	window1: recordFrameIntervals = False
6.3647 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='lightGrey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text=u'+', units='deg', win=Window(...), wrapWidth=15.0)
6.3681 	EXP 	Created posner = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='lightGrey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='posner', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text=u'o', units='deg', win=Window(...), wrapWidth=15.0)
6.3713 	EXP 	Created cue_right = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='lightGrey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='cue_right', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text=u'>', units='deg', win=Window(...), wrapWidth=15.0)
6.3744 	EXP 	Created cue_left = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='lightGrey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='cue_left', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text=u'<', units='deg', win=Window(...), wrapWidth=15.0)
6.4229 	EXP 	Created cue_img1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='../../stim/Cue/scene_icon.png', interpolate=False, mask=None, maskParams=None, name='cue_img1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 2.,  2.]), texRes=128, units='deg', win=Window(...))
6.4252 	EXP 	Created cue_img2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='../../stim/Cue/face_icon.png', interpolate=False, mask=None, maskParams=None, name='cue_img2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 2.,  2.]), texRes=128, units='deg', win=Window(...))
