Button,Time
"[['1', 544.2067530155182]]",1551379465.437285
"[['1', 594.9722790718079]]",1551379517.650145
"[['3', 613.3311250209808]]",1551379533.421629
"[['3', 650.1525931358337]]",1551379570.243223
"[['3', 667.9956800937653]]",1551379590.660176
"[['4', 673.6652479171753], ['3', 675.5490140914917]]",1551379595.878809
"[['4', 697.1913480758667]]",1551379617.282062
"[['3', 712.4505670070648]]",1551379632.541016
"[['3', 728.6703000068665]]",1551379648.760912
"[['2', 98.26681900024414]]",1551379929.700466
"[['4', 101.43917798995972]]",1551379932.888896
"[['2', 121.17411494255066]]",1551379952.608199
"[['2', 153.65739107131958]]",1551379985.101442
"[['4', 202.43778610229492]]",1551380033.884654
"[['3', 206.43483209609985]]",1551380037.869023
"[['1', 220.56013798713684]]",1551380053.357311
"[['1', 74.49248886108398]]",1551380305.022771
"[['2', 95.33287501335144]]",1551380325.446379
"[['3', 161.72547101974487]]",1551380391.839198
"[['3', 184.72811698913574]]",1551380414.842161
"[['3', 207.2847819328308]]",1551380437.398831
"[['4', 139.15006494522095]]",1551380755.435363
"[['2', 69.0876989364624]]",1551381619.755759
"[['2', 82.55690407752991]]",1551381633.224992
"[['3', 131.21118092536926]]",1551381682.10382
"[['3', 160.4681680202484]]",1551381711.729564
"[['2', 164.36792302131653]]",1551381715.035999
"[['3', 183.855073928833]]",1551381734.692358
"[['3', 214.33002400398254]]",1551381764.998062
"[['2', 82.47085118293762]]",1551381958.703628
"[['3', 143.48536205291748]]",1551382019.71833
"[['3', 163.09003806114197]]",1551382039.322892
"[['3', 175.00181198120117]]",1551382051.624642
"[['3', 184.63816118240356]]",1551382061.430781
"[['3', 202.18494200706482]]",1551382078.433666
"[['3', 92.81840801239014]]",1551382292.085569
"[['3', 125.63036298751831]]",1551382324.897573
"[['1', 155.5306351184845]]",1551382355.844655
"[['3', 136.83176708221436]]",1551382679.328923
"[['3', 156.13913106918335]]",1551382698.155556
"[['1', 164.54867005348206]]",1551382707.542058
"[['3', 169.25682306289673]]",1551382711.273126
"[['3', 175.39521408081055]]",1551382717.411663
"[['2', 205.25448298454285], ['3', 205.45935201644897], ['3', 205.94119596481323]]",1551382748.350799
"[['3', 208.62151193618774]]",1551382751.773352
