3.8078 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output']
11.2451 	EXP 	window1: blendMode = 'avg'
11.2457 	EXP 	window1: blendMode = 'avg'
11.2463 	EXP 	window1: blendMode = 'avg'
11.2615 	EXP 	window1: blendMode = 'avg'
11.2621 	EXP 	window1: blendMode = 'avg'
11.2626 	EXP 	window1: blendMode = 'avg'
11.2782 	EXP 	window1: blendMode = 'avg'
11.2788 	EXP 	window1: blendMode = 'avg'
11.2794 	EXP 	window1: blendMode = 'avg'
11.2951 	EXP 	window1: blendMode = 'avg'
11.2957 	EXP 	window1: blendMode = 'avg'
11.2962 	EXP 	window1: blendMode = 'avg'
11.3117 	EXP 	window1: blendMode = 'avg'
11.3123 	EXP 	window1: blendMode = 'avg'
11.3129 	EXP 	window1: blendMode = 'avg'
11.3283 	EXP 	window1: blendMode = 'avg'
11.3289 	EXP 	window1: blendMode = 'avg'
11.3295 	EXP 	window1: blendMode = 'avg'
11.3448 	EXP 	window1: blendMode = 'avg'
11.3454 	EXP 	window1: blendMode = 'avg'
11.3460 	EXP 	window1: blendMode = 'avg'
11.3628 	EXP 	window1: blendMode = 'avg'
11.3634 	EXP 	window1: blendMode = 'avg'
11.3640 	EXP 	window1: blendMode = 'avg'
11.3784 	EXP 	window1: blendMode = 'avg'
11.3790 	EXP 	window1: blendMode = 'avg'
11.3795 	EXP 	window1: blendMode = 'avg'
11.3953 	EXP 	window1: blendMode = 'avg'
11.3959 	EXP 	window1: blendMode = 'avg'
11.3965 	EXP 	window1: blendMode = 'avg'
11.4118 	EXP 	window1: blendMode = 'avg'
11.4124 	EXP 	window1: blendMode = 'avg'
11.4128 	EXP 	window1: blendMode = 'avg'
11.4283 	EXP 	window1: blendMode = 'avg'
11.4289 	EXP 	window1: blendMode = 'avg'
11.4294 	EXP 	window1: blendMode = 'avg'
11.4451 	EXP 	window1: blendMode = 'avg'
11.4457 	EXP 	window1: blendMode = 'avg'
11.4463 	EXP 	window1: blendMode = 'avg'
11.4617 	EXP 	window1: blendMode = 'avg'
11.4623 	EXP 	window1: blendMode = 'avg'
11.4628 	EXP 	window1: blendMode = 'avg'
11.4784 	EXP 	window1: blendMode = 'avg'
11.4789 	EXP 	window1: blendMode = 'avg'
11.4794 	EXP 	window1: blendMode = 'avg'
11.4949 	EXP 	window1: blendMode = 'avg'
11.4955 	EXP 	window1: blendMode = 'avg'
11.4960 	EXP 	window1: blendMode = 'avg'
11.5115 	EXP 	window1: blendMode = 'avg'
11.5121 	EXP 	window1: blendMode = 'avg'
11.5127 	EXP 	window1: blendMode = 'avg'
11.5285 	EXP 	window1: blendMode = 'avg'
11.5291 	EXP 	window1: blendMode = 'avg'
11.5297 	EXP 	window1: blendMode = 'avg'
11.5449 	EXP 	window1: blendMode = 'avg'
11.5455 	EXP 	window1: blendMode = 'avg'
11.5461 	EXP 	window1: blendMode = 'avg'
11.5615 	EXP 	window1: blendMode = 'avg'
11.5621 	EXP 	window1: blendMode = 'avg'
11.5627 	EXP 	window1: blendMode = 'avg'
11.5788 	EXP 	window1: blendMode = 'avg'
11.5794 	EXP 	window1: blendMode = 'avg'
11.5799 	EXP 	window1: blendMode = 'avg'
11.5960 	EXP 	window1: blendMode = 'avg'
11.5966 	EXP 	window1: blendMode = 'avg'
11.5971 	EXP 	window1: blendMode = 'avg'
11.6117 	EXP 	window1: blendMode = 'avg'
11.6123 	EXP 	window1: blendMode = 'avg'
11.6127 	EXP 	window1: blendMode = 'avg'
11.6281 	EXP 	window1: blendMode = 'avg'
11.6287 	EXP 	window1: blendMode = 'avg'
11.6291 	EXP 	window1: blendMode = 'avg'
11.6459 	EXP 	window1: blendMode = 'avg'
11.6465 	EXP 	window1: blendMode = 'avg'
11.6470 	EXP 	window1: blendMode = 'avg'
11.6616 	EXP 	window1: blendMode = 'avg'
11.6622 	EXP 	window1: blendMode = 'avg'
11.6628 	EXP 	window1: blendMode = 'avg'
11.6790 	EXP 	window1: blendMode = 'avg'
11.6795 	EXP 	window1: blendMode = 'avg'
11.6800 	EXP 	window1: blendMode = 'avg'
11.6948 	EXP 	window1: blendMode = 'avg'
11.6954 	EXP 	window1: blendMode = 'avg'
11.6960 	EXP 	window1: blendMode = 'avg'
11.7114 	EXP 	window1: blendMode = 'avg'
11.7120 	EXP 	window1: blendMode = 'avg'
11.7125 	EXP 	window1: blendMode = 'avg'
11.7282 	EXP 	window1: blendMode = 'avg'
11.7288 	EXP 	window1: blendMode = 'avg'
11.7293 	EXP 	window1: blendMode = 'avg'
11.7451 	EXP 	window1: blendMode = 'avg'
11.7457 	EXP 	window1: blendMode = 'avg'
11.7463 	EXP 	window1: blendMode = 'avg'
11.7618 	EXP 	window1: blendMode = 'avg'
11.7624 	EXP 	window1: blendMode = 'avg'
11.7630 	EXP 	window1: blendMode = 'avg'
11.7782 	EXP 	window1: blendMode = 'avg'
11.7788 	EXP 	window1: blendMode = 'avg'
11.7794 	EXP 	window1: blendMode = 'avg'
11.7950 	EXP 	window1: blendMode = 'avg'
11.7956 	EXP 	window1: blendMode = 'avg'
11.7962 	EXP 	window1: blendMode = 'avg'
11.8115 	EXP 	window1: blendMode = 'avg'
11.8121 	EXP 	window1: blendMode = 'avg'
11.8127 	EXP 	window1: blendMode = 'avg'
11.8283 	EXP 	window1: blendMode = 'avg'
11.8289 	EXP 	window1: blendMode = 'avg'
11.8295 	EXP 	window1: blendMode = 'avg'
11.8458 	EXP 	window1: blendMode = 'avg'
11.8465 	EXP 	window1: blendMode = 'avg'
11.8470 	EXP 	window1: blendMode = 'avg'
11.8618 	EXP 	window1: blendMode = 'avg'
11.8624 	EXP 	window1: blendMode = 'avg'
11.8629 	EXP 	window1: blendMode = 'avg'
11.8784 	EXP 	window1: blendMode = 'avg'
11.8791 	EXP 	window1: blendMode = 'avg'
11.8797 	EXP 	window1: blendMode = 'avg'
11.8950 	EXP 	window1: blendMode = 'avg'
11.8956 	EXP 	window1: blendMode = 'avg'
11.8962 	EXP 	window1: blendMode = 'avg'
11.9121 	EXP 	window1: blendMode = 'avg'
11.9126 	EXP 	window1: blendMode = 'avg'
11.9132 	EXP 	window1: blendMode = 'avg'
11.9283 	EXP 	window1: blendMode = 'avg'
11.9289 	EXP 	window1: blendMode = 'avg'
11.9294 	EXP 	window1: blendMode = 'avg'
11.9448 	EXP 	window1: blendMode = 'avg'
11.9454 	EXP 	window1: blendMode = 'avg'
11.9460 	EXP 	window1: blendMode = 'avg'
11.9617 	EXP 	window1: blendMode = 'avg'
11.9623 	EXP 	window1: blendMode = 'avg'
11.9628 	EXP 	window1: blendMode = 'avg'
11.9791 	EXP 	window1: blendMode = 'avg'
11.9797 	EXP 	window1: blendMode = 'avg'
11.9802 	EXP 	window1: blendMode = 'avg'
11.9949 	EXP 	window1: blendMode = 'avg'
11.9955 	EXP 	window1: blendMode = 'avg'
11.9961 	EXP 	window1: blendMode = 'avg'
12.0118 	EXP 	window1: blendMode = 'avg'
12.0124 	EXP 	window1: blendMode = 'avg'
12.0130 	EXP 	window1: blendMode = 'avg'
12.0284 	EXP 	window1: blendMode = 'avg'
12.0290 	EXP 	window1: blendMode = 'avg'
12.0296 	EXP 	window1: blendMode = 'avg'
12.0460 	EXP 	window1: blendMode = 'avg'
12.0466 	EXP 	window1: blendMode = 'avg'
12.0471 	EXP 	window1: blendMode = 'avg'
12.0612 	EXP 	window1: blendMode = 'avg'
12.0617 	EXP 	window1: blendMode = 'avg'
12.0623 	EXP 	window1: blendMode = 'avg'
12.0793 	EXP 	window1: blendMode = 'avg'
12.0799 	EXP 	window1: blendMode = 'avg'
12.0805 	EXP 	window1: blendMode = 'avg'
12.0958 	EXP 	window1: blendMode = 'avg'
12.0964 	EXP 	window1: blendMode = 'avg'
12.0970 	EXP 	window1: blendMode = 'avg'
12.1118 	EXP 	window1: blendMode = 'avg'
12.1124 	EXP 	window1: blendMode = 'avg'
12.1129 	EXP 	window1: blendMode = 'avg'
12.1282 	EXP 	window1: blendMode = 'avg'
12.1288 	EXP 	window1: blendMode = 'avg'
12.1293 	EXP 	window1: blendMode = 'avg'
12.1451 	EXP 	window1: blendMode = 'avg'
12.1457 	EXP 	window1: blendMode = 'avg'
12.1462 	EXP 	window1: blendMode = 'avg'
12.1620 	EXP 	window1: blendMode = 'avg'
12.1626 	EXP 	window1: blendMode = 'avg'
12.1632 	EXP 	window1: blendMode = 'avg'
12.1784 	EXP 	window1: blendMode = 'avg'
12.1790 	EXP 	window1: blendMode = 'avg'
12.1796 	EXP 	window1: blendMode = 'avg'
12.1948 	EXP 	window1: blendMode = 'avg'
12.1953 	EXP 	window1: blendMode = 'avg'
12.1958 	EXP 	window1: blendMode = 'avg'
12.2117 	EXP 	window1: blendMode = 'avg'
12.2123 	EXP 	window1: blendMode = 'avg'
12.2129 	EXP 	window1: blendMode = 'avg'
12.2284 	EXP 	window1: blendMode = 'avg'
12.2290 	EXP 	window1: blendMode = 'avg'
12.2296 	EXP 	window1: blendMode = 'avg'
12.2448 	EXP 	window1: blendMode = 'avg'
12.2454 	EXP 	window1: blendMode = 'avg'
12.2460 	EXP 	window1: blendMode = 'avg'
12.2622 	EXP 	window1: blendMode = 'avg'
12.2627 	EXP 	window1: blendMode = 'avg'
12.2633 	EXP 	window1: blendMode = 'avg'
12.2784 	EXP 	window1: blendMode = 'avg'
12.2790 	EXP 	window1: blendMode = 'avg'
12.2796 	EXP 	window1: blendMode = 'avg'
12.2951 	EXP 	window1: blendMode = 'avg'
12.2957 	EXP 	window1: blendMode = 'avg'
12.2963 	EXP 	window1: blendMode = 'avg'
12.3117 	EXP 	window1: blendMode = 'avg'
12.3123 	EXP 	window1: blendMode = 'avg'
12.3129 	EXP 	window1: blendMode = 'avg'
12.3282 	EXP 	window1: blendMode = 'avg'
12.3288 	EXP 	window1: blendMode = 'avg'
12.3294 	EXP 	window1: blendMode = 'avg'
12.3451 	EXP 	window1: blendMode = 'avg'
12.3457 	EXP 	window1: blendMode = 'avg'
12.3462 	EXP 	window1: blendMode = 'avg'
12.3618 	EXP 	window1: blendMode = 'avg'
12.3624 	EXP 	window1: blendMode = 'avg'
12.3630 	EXP 	window1: blendMode = 'avg'
12.3784 	EXP 	window1: blendMode = 'avg'
12.3790 	EXP 	window1: blendMode = 'avg'
12.3796 	EXP 	window1: blendMode = 'avg'
12.3948 	EXP 	window1: blendMode = 'avg'
12.3955 	EXP 	window1: blendMode = 'avg'
12.3960 	EXP 	window1: blendMode = 'avg'
12.4126 	EXP 	window1: blendMode = 'avg'
12.4131 	EXP 	window1: blendMode = 'avg'
12.4137 	EXP 	window1: blendMode = 'avg'
12.4277 	EXP 	window1: blendMode = 'avg'
12.4282 	EXP 	window1: blendMode = 'avg'
12.4287 	EXP 	window1: blendMode = 'avg'
12.4458 	EXP 	window1: blendMode = 'avg'
12.4463 	EXP 	window1: blendMode = 'avg'
12.4469 	EXP 	window1: blendMode = 'avg'
12.4613 	EXP 	window1: blendMode = 'avg'
12.4619 	EXP 	window1: blendMode = 'avg'
12.4624 	EXP 	window1: blendMode = 'avg'
12.4780 	EXP 	window1: blendMode = 'avg'
12.4787 	EXP 	window1: blendMode = 'avg'
12.4792 	EXP 	window1: blendMode = 'avg'
12.4950 	EXP 	window1: blendMode = 'avg'
12.4956 	EXP 	window1: blendMode = 'avg'
12.4962 	EXP 	window1: blendMode = 'avg'
12.5128 	EXP 	window1: blendMode = 'avg'
12.5134 	EXP 	window1: blendMode = 'avg'
12.5140 	EXP 	window1: blendMode = 'avg'
12.5285 	EXP 	window1: blendMode = 'avg'
12.5292 	EXP 	window1: blendMode = 'avg'
12.5299 	EXP 	window1: blendMode = 'avg'
12.5448 	EXP 	window1: blendMode = 'avg'
12.5454 	EXP 	window1: blendMode = 'avg'
12.5459 	EXP 	window1: blendMode = 'avg'
12.5615 	EXP 	window1: blendMode = 'avg'
12.5621 	EXP 	window1: blendMode = 'avg'
12.5627 	EXP 	window1: blendMode = 'avg'
12.5786 	EXP 	window1: blendMode = 'avg'
12.5791 	EXP 	window1: blendMode = 'avg'
12.5797 	EXP 	window1: blendMode = 'avg'
12.5952 	EXP 	window1: blendMode = 'avg'
12.5957 	EXP 	window1: blendMode = 'avg'
12.5962 	EXP 	window1: blendMode = 'avg'
12.6111 	EXP 	window1: blendMode = 'avg'
12.6116 	EXP 	window1: blendMode = 'avg'
12.6122 	EXP 	window1: blendMode = 'avg'
12.6279 	EXP 	window1: blendMode = 'avg'
12.6284 	EXP 	window1: blendMode = 'avg'
12.6289 	EXP 	window1: blendMode = 'avg'
12.6447 	EXP 	window1: blendMode = 'avg'
12.6451 	EXP 	window1: blendMode = 'avg'
12.6456 	EXP 	window1: blendMode = 'avg'
12.6618 	EXP 	window1: blendMode = 'avg'
12.6622 	EXP 	window1: blendMode = 'avg'
12.6627 	EXP 	window1: blendMode = 'avg'
12.6787 	EXP 	window1: blendMode = 'avg'
12.6793 	EXP 	window1: blendMode = 'avg'
12.6798 	EXP 	window1: blendMode = 'avg'
12.6954 	EXP 	window1: blendMode = 'avg'
12.6959 	EXP 	window1: blendMode = 'avg'
12.6965 	EXP 	window1: blendMode = 'avg'
12.7116 	EXP 	window1: blendMode = 'avg'
12.7121 	EXP 	window1: blendMode = 'avg'
12.7125 	EXP 	window1: blendMode = 'avg'
12.7287 	EXP 	window1: blendMode = 'avg'
12.7292 	EXP 	window1: blendMode = 'avg'
12.7298 	EXP 	window1: blendMode = 'avg'
12.7450 	EXP 	window1: blendMode = 'avg'
12.7456 	EXP 	window1: blendMode = 'avg'
12.7461 	EXP 	window1: blendMode = 'avg'
12.7624 	EXP 	window1: blendMode = 'avg'
12.7629 	EXP 	window1: blendMode = 'avg'
12.7635 	EXP 	window1: blendMode = 'avg'
12.7784 	EXP 	window1: blendMode = 'avg'
12.7790 	EXP 	window1: blendMode = 'avg'
12.7796 	EXP 	window1: blendMode = 'avg'
12.7960 	DATA 	Keypress: return
12.7971 	EXP 	window1: blendMode = 'avg'
12.7976 	EXP 	window1: blendMode = 'avg'
12.7981 	EXP 	window1: blendMode = 'avg'
12.7995 	DATA 	RatingScale rating: (key response) rating=2
12.7997 	DATA 	RatingScale rating: rating RT=4.435
12.7997 	DATA 	RatingScale rating: history=[(None, 0.0), (2, 1.153), (2, 4.435)]
12.8277 	EXP 	window1: mouseVisible = True
