3.8078 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output']
8.5124 	EXP 	window1: blendMode = 'avg'
8.5129 	EXP 	window1: blendMode = 'avg'
8.5282 	EXP 	window1: blendMode = 'avg'
8.5288 	EXP 	window1: blendMode = 'avg'
8.5294 	EXP 	window1: blendMode = 'avg'
8.5455 	EXP 	window1: blendMode = 'avg'
8.5461 	EXP 	window1: blendMode = 'avg'
8.5466 	EXP 	window1: blendMode = 'avg'
8.5618 	EXP 	window1: blendMode = 'avg'
8.5624 	EXP 	window1: blendMode = 'avg'
8.5629 	EXP 	window1: blendMode = 'avg'
8.5783 	EXP 	window1: blendMode = 'avg'
8.5789 	EXP 	window1: blendMode = 'avg'
8.5795 	EXP 	window1: blendMode = 'avg'
8.5951 	EXP 	window1: blendMode = 'avg'
8.5957 	EXP 	window1: blendMode = 'avg'
8.5963 	EXP 	window1: blendMode = 'avg'
8.6117 	EXP 	window1: blendMode = 'avg'
8.6123 	EXP 	window1: blendMode = 'avg'
8.6129 	EXP 	window1: blendMode = 'avg'
8.6285 	EXP 	window1: blendMode = 'avg'
8.6291 	EXP 	window1: blendMode = 'avg'
8.6296 	EXP 	window1: blendMode = 'avg'
8.6449 	EXP 	window1: blendMode = 'avg'
8.6456 	EXP 	window1: blendMode = 'avg'
8.6461 	EXP 	window1: blendMode = 'avg'
8.6619 	EXP 	window1: blendMode = 'avg'
8.6625 	EXP 	window1: blendMode = 'avg'
8.6631 	EXP 	window1: blendMode = 'avg'
8.6782 	EXP 	window1: blendMode = 'avg'
8.6788 	EXP 	window1: blendMode = 'avg'
8.6794 	EXP 	window1: blendMode = 'avg'
8.6950 	EXP 	window1: blendMode = 'avg'
8.6956 	EXP 	window1: blendMode = 'avg'
8.6962 	EXP 	window1: blendMode = 'avg'
8.7117 	EXP 	window1: blendMode = 'avg'
8.7123 	EXP 	window1: blendMode = 'avg'
8.7129 	EXP 	window1: blendMode = 'avg'
8.7285 	EXP 	window1: blendMode = 'avg'
8.7291 	EXP 	window1: blendMode = 'avg'
8.7297 	EXP 	window1: blendMode = 'avg'
8.7452 	EXP 	window1: blendMode = 'avg'
8.7458 	EXP 	window1: blendMode = 'avg'
8.7464 	EXP 	window1: blendMode = 'avg'
8.7612 	EXP 	window1: blendMode = 'avg'
8.7618 	EXP 	window1: blendMode = 'avg'
8.7624 	EXP 	window1: blendMode = 'avg'
8.7781 	EXP 	window1: blendMode = 'avg'
8.7787 	EXP 	window1: blendMode = 'avg'
8.7793 	EXP 	window1: blendMode = 'avg'
8.7949 	EXP 	window1: blendMode = 'avg'
8.7955 	EXP 	window1: blendMode = 'avg'
8.7961 	EXP 	window1: blendMode = 'avg'
8.8115 	EXP 	window1: blendMode = 'avg'
8.8121 	EXP 	window1: blendMode = 'avg'
8.8127 	EXP 	window1: blendMode = 'avg'
8.8285 	EXP 	window1: blendMode = 'avg'
8.8290 	EXP 	window1: blendMode = 'avg'
8.8296 	EXP 	window1: blendMode = 'avg'
8.8450 	EXP 	window1: blendMode = 'avg'
8.8457 	EXP 	window1: blendMode = 'avg'
8.8462 	EXP 	window1: blendMode = 'avg'
8.8616 	EXP 	window1: blendMode = 'avg'
8.8622 	EXP 	window1: blendMode = 'avg'
8.8627 	EXP 	window1: blendMode = 'avg'
8.8785 	EXP 	window1: blendMode = 'avg'
8.8791 	EXP 	window1: blendMode = 'avg'
8.8796 	EXP 	window1: blendMode = 'avg'
8.8951 	EXP 	window1: blendMode = 'avg'
8.8957 	EXP 	window1: blendMode = 'avg'
8.8963 	EXP 	window1: blendMode = 'avg'
8.9118 	EXP 	window1: blendMode = 'avg'
8.9123 	EXP 	window1: blendMode = 'avg'
8.9129 	EXP 	window1: blendMode = 'avg'
8.9284 	EXP 	window1: blendMode = 'avg'
8.9290 	EXP 	window1: blendMode = 'avg'
8.9295 	EXP 	window1: blendMode = 'avg'
8.9449 	EXP 	window1: blendMode = 'avg'
8.9455 	EXP 	window1: blendMode = 'avg'
8.9461 	EXP 	window1: blendMode = 'avg'
8.9617 	EXP 	window1: blendMode = 'avg'
8.9623 	EXP 	window1: blendMode = 'avg'
8.9632 	EXP 	window1: blendMode = 'avg'
8.9785 	EXP 	window1: blendMode = 'avg'
8.9791 	EXP 	window1: blendMode = 'avg'
8.9797 	EXP 	window1: blendMode = 'avg'
8.9952 	EXP 	window1: blendMode = 'avg'
8.9958 	EXP 	window1: blendMode = 'avg'
8.9964 	EXP 	window1: blendMode = 'avg'
9.0116 	EXP 	window1: blendMode = 'avg'
9.0122 	EXP 	window1: blendMode = 'avg'
9.0128 	EXP 	window1: blendMode = 'avg'
9.0287 	EXP 	window1: blendMode = 'avg'
9.0293 	EXP 	window1: blendMode = 'avg'
9.0298 	EXP 	window1: blendMode = 'avg'
9.0449 	EXP 	window1: blendMode = 'avg'
9.0455 	EXP 	window1: blendMode = 'avg'
9.0461 	EXP 	window1: blendMode = 'avg'
9.0615 	EXP 	window1: blendMode = 'avg'
9.0621 	EXP 	window1: blendMode = 'avg'
9.0627 	EXP 	window1: blendMode = 'avg'
9.0784 	EXP 	window1: blendMode = 'avg'
9.0790 	EXP 	window1: blendMode = 'avg'
9.0796 	EXP 	window1: blendMode = 'avg'
9.0949 	EXP 	window1: blendMode = 'avg'
9.0955 	EXP 	window1: blendMode = 'avg'
9.0961 	EXP 	window1: blendMode = 'avg'
9.1117 	EXP 	window1: blendMode = 'avg'
9.1123 	EXP 	window1: blendMode = 'avg'
9.1129 	EXP 	window1: blendMode = 'avg'
9.1284 	EXP 	window1: blendMode = 'avg'
9.1289 	EXP 	window1: blendMode = 'avg'
9.1295 	EXP 	window1: blendMode = 'avg'
9.1449 	EXP 	window1: blendMode = 'avg'
9.1455 	EXP 	window1: blendMode = 'avg'
9.1461 	EXP 	window1: blendMode = 'avg'
9.1617 	EXP 	window1: blendMode = 'avg'
9.1623 	EXP 	window1: blendMode = 'avg'
9.1629 	EXP 	window1: blendMode = 'avg'
9.1784 	EXP 	window1: blendMode = 'avg'
9.1790 	EXP 	window1: blendMode = 'avg'
9.1796 	EXP 	window1: blendMode = 'avg'
9.1949 	EXP 	window1: blendMode = 'avg'
9.1955 	EXP 	window1: blendMode = 'avg'
9.1961 	EXP 	window1: blendMode = 'avg'
9.2118 	EXP 	window1: blendMode = 'avg'
9.2125 	EXP 	window1: blendMode = 'avg'
9.2131 	EXP 	window1: blendMode = 'avg'
9.2284 	EXP 	window1: blendMode = 'avg'
9.2290 	EXP 	window1: blendMode = 'avg'
9.2295 	EXP 	window1: blendMode = 'avg'
9.2448 	EXP 	window1: blendMode = 'avg'
9.2454 	EXP 	window1: blendMode = 'avg'
9.2458 	EXP 	window1: blendMode = 'avg'
9.2617 	EXP 	window1: blendMode = 'avg'
9.2622 	EXP 	window1: blendMode = 'avg'
9.2627 	EXP 	window1: blendMode = 'avg'
9.2784 	EXP 	window1: blendMode = 'avg'
9.2790 	EXP 	window1: blendMode = 'avg'
9.2795 	EXP 	window1: blendMode = 'avg'
9.2950 	EXP 	window1: blendMode = 'avg'
9.2956 	EXP 	window1: blendMode = 'avg'
9.2962 	EXP 	window1: blendMode = 'avg'
9.3116 	EXP 	window1: blendMode = 'avg'
9.3122 	EXP 	window1: blendMode = 'avg'
9.3128 	EXP 	window1: blendMode = 'avg'
