Button,Time
"[['1', 921.0903630256653]]",1537986097.166736
"[['2', 924.959860086441]]",1537986101.000188
"[['2', 941.5127530097961]]",1537986117.568627
"[['2', 974.4706819057465]]",1537986150.550587
"[['2', 978.1234200000763]]",1537986154.163837
"[['3', 120.35282683372498]]",1537986478.690623
"[['2', 123.8885350227356]]",1537986482.187706
"[['1', 137.22567081451416]]",1537986495.524819
"[['1', 109.50329995155334]]",1537986768.515082
"[['2', 172.15255498886108]]",1537987442.273096
"[['3', 94.58302021026611]]",1537988366.360245
