Button,Time
"[['2', 200.45435690879822]]",1538581731.342777
"[['2', 226.44521498680115]]",1538581757.684099
"[['2', 234.29814505577087]]",1538581765.186423
"[['2', 130.64194297790527]]",1538582147.293203
"[['2', 140.74460911750793]]",1538582158.596766
"[['3', 96.17253684997559]]",1538582689.76715
"[['3', 107.32568001747131]]",1538582700.920359
"[['3', 152.74481987953186]]",1538582746.96985
"[['2', 154.04220604896545]]",1538582747.637002
"[['3', 168.9966118335724]]",1538582762.591586
"[['1', 223.53032994270325]]",1538582817.125277
"[['1', 185.1061930656433]]",1538583089.246015
"[['1', 187.44684505462646]]",1538583431.340072
"[['2', 218.7748041152954]]",1538583462.633624
