Button,Time
"[['return', 145.13248586654663]]",1540386857.305767
"[['3', 306.395968914032]]",1540387018.607998
"[['3', 415.94805693626404]]",1540387128.178742
"[['3', 73.0801088809967]]",1540387445.782029
"[['4', 211.0747218132019]]",1540387582.775359
"[['1', 112.12385702133179]]",1540387811.650167
"[['4', 141.950049161911]]",1540387842.177011
"[['1', 193.7330470085144]]",1540387893.259503
"[['4', 204.76997303962708]]",1540387904.296408
"[['1', 228.28551697731018]]",1540387927.871804
"[['1', 235.89888715744019]]",1540387935.656231
"[['1', 120.42722606658936]]",1540388178.736083
"[['f5', 136.31348609924316]]",1540388194.574697
"[['1', 188.14399695396423]]",1540388245.024097
"[['1', 210.66890215873718]]",1540388268.048853
"[['2', 236.8194580078125]]",1540388742.303289
"[['1', 145.82506918907166]]",1540388959.574183
"[['4', 175.3349449634552]]",1540388989.850108
"[['1', 191.0555350780487]]",1540389004.871918
"[['2', 81.7620918750763]]",1540389197.834867
"[['4', 116.99034690856934]]",1540389233.063401
"[['1', 132.71162700653076]]",1540389248.784721
"[['1', 177.36156296730042]]",1540389294.099598
"[['1', 192.94802594184875]]",1540389309.404837
"[['1', 217.40936994552612]]",1540389687.545137
