Button,Time
"[['1', 302.386353969574]]",1538591270.583433
"[['1', 376.7770960330963]]",1538591344.974118
"[['2', 105.17775511741638]]",1538591873.877963
"[['3', 101.02427101135254]]",1538592204.317172
"[['3', 117.0473530292511]]",1538592220.371764
"[['4', 120.4291820526123]]",1538592223.722092
"[['1', 86.74218606948853]]",1538592519.034352
"[['3', 144.15657091140747]]",1538592577.386542
"[['2', 190.33736109733582]]",1538592622.951043
"[['2', 83.92501306533813]]",1538593132.932162
"[['1', 115.7486219406128]]",1538594149.17584
"[['1', 153.33049392700195]]",1538594188.055253
