Button,Time
"[['2', 449.48418617248535]]",1555438337.444149
"[['2', 457.4534680843353]]",1555438345.414706
"[['1', 503.10826301574707]]",1555438391.028932
"[['2', 538.6500210762024]]",1555438426.570535
"[['2', 549.5022871494293]]",1555438437.422888
"[['1', 72.43515086174011]]",1555438904.041831
"[['2', 123.28521490097046]]",1555438954.891988
"[['2', 235.85512495040894]]",1555439067.461613
"[['4', 101.382071018219]]",1555439281.569857
"[['3', 114.13549017906189]]",1555439294.323396
"[['2', 149.3883249759674]]",1555439329.54719
"[['3', 155.63546109199524]]",1555439335.837588
"[['2', 219.39710903167725]]",1555439399.554764
"[['2', 226.94180703163147]]",1555439407.726173
"[['3', 145.02044701576233]]",1555439631.84871
"[['2', 269.16564106941223]]",1555439755.60327
"[['3', 127.03367781639099]]",1555440063.940729
"[['3', 160.1359739303589]]",1555440097.484103
"[['2', 185.14242482185364]]",1555440122.309059
"[['2', 251.0863859653473]]",1555440187.993616
"[['2', 263.5087378025055]]",1555440200.415676
"[['2', 194.60065293312073]]",1555440478.007652
"[['2', 242.56925106048584]]",1555440525.970661
"[['3', 124.50963711738586], ['4', 124.69812417030334]]",1555440735.793255
"[['4', 140.67264699935913]]",1555440751.510604
"[['2', 186.9695429801941]]",1555440797.679355
"[['1', 221.88297700881958]]",1555440833.624921
"[['2', 249.55768704414368]]",1555440861.263305
"[['1', 22.405861854553223]]",1555441003.912894
"[['1', 23.5558819770813]]",1555441005.563363
"[['2', 211.03756403923035]]",1555441192.554923
"[['2', 220.73547387123108]]",1555441202.242646
"[['2', 232.75643587112427]]",1555441214.432217
