Button,Time
"[['1', 232.0624828338623], ['4', 232.06336092948914], ['2', 232.0641679763794]]",1554141964.772693
"[['3', 235.38201093673706]]",1554141968.072796
"[['1', 237.30836081504822]]",1554141970.975073
"[['1', 372.8608407974243]]",1554142105.551421
"[['2', 408.62260580062866]]",1554142141.313096
"[['3', 112.76330995559692]]",1554142433.607131
"[['4', 113.27383303642273]]",1554142434.0749
"[['2', 161.70988702774048]]",1554143394.936147
"[['4', 130.2304289340973]]",1554143667.710806
"[['4', 162.2457618713379], ['4', 162.6755120754242]]",1554143997.034997
"[['2', 188.06559300422668]]",1554144021.672641
"[['1', 98.04404377937317]]",1554144524.486678
"[['1', 149.53432393074036], ['1', 149.89577388763428]]",1554144576.574662
