Button,Time
"[['4', 252.42217683792114]]",1554145266.266347
"[['2', 364.79930782318115]]",1554145378.681536
"[['2', 371.59072494506836]]",1554145385.434875
"[['2', 423.04063081741333]]",1554145436.884797
"[['3', 50.02775597572327]]",1554145621.444802
"[['3', 111.71948099136353]]",1554145682.414254
"[['2', 161.4776258468628]]",1554145732.147228
"[['3', 103.47593212127686]]",1554146039.047076
"[['1', 106.84355998039246]]",1554146042.414848
"[['2', 123.41564893722534]]",1554146058.987032
"[['1', 133.21332907676697], ['2', 133.31265211105347]]",1554146069.140632
"[['2', 134.06081008911133]]",1554146069.631999
"[['2', 187.0616569519043], ['3', 187.16291904449463], ['4', 187.33243703842163]]",1554146123.108022
"[['3', 66.77029013633728], ['3', 67.17285299301147]]",1554146301.601611
"[['3', 67.33801412582397]]",1554146301.740451
"[['3', 67.48961400985718]]",1554146301.899625
"[['3', 89.12083005905151]]",1554146324.344181
"[['1', 113.5914101600647]]",1554146348.035227
"[['1', 121.03210210800171]]",1554146355.434761
"[['2', 138.72041702270508]]",1554146373.122864
"[['3', 154.46971702575684], ['4', 154.84551215171814]]",1554146390.28275
"[['3', 169.52483010292053]]",1554146404.266122
"[['2', 175.61771297454834], ['3', 175.63599801063538], ['4', 175.73883414268494]]",1554146411.218974
"[['4', 190.20027112960815]]",1554146424.906725
"[['2', 203.8109791278839], ['3', 203.81190705299377], ['4', 203.96481704711914]]",1554146438.994527
"[['1', 105.14791512489319]]",1554146699.133056
"[['4', 160.7445969581604]]",1554146754.730955
"[['4', 160.84951400756836]]",1554146754.797946
"[['4', 161.01580905914307]]",1554146754.96411
"[['3', 72.90519094467163]]",1554146977.00669
"[['1', 105.48776483535767], ['2', 105.48866987228394]]",1554147009.235101
"[['1', 109.2027108669281]]",1554147013.102571
"[['2', 182.77765583992004]]",1554147087.327561
"[['3', 186.13884782791138], ['4', 186.32677578926086], ['4', 186.92815494537354], ['4', 187.12180399894714]]",1554147090.828966
"[['4', 187.30078101158142]]",1554147091.007965
"[['2', 232.86580991744995]]",1554147136.572944
"[['3', 16.541019916534424]]",1554147223.721259
"[['1', 86.29808712005615]]",1554147294.291828
"[['2', 170.3288390636444]]",1554147377.471192
"[['1', 61.21081590652466]]",1554147562.280751
"[['1', 77.3130989074707]]",1554147578.383072
"[['3', 96.95977091789246]]",1554147598.029554
"[['tab', 119.31161999702454]]",1554147621.318256
