Button,Time
"[['return', 98.29334092140198]]",1539181502.641764
"[['return', 102.59456896781921]]",1539181506.943141
"[['3', 122.01809906959534]]",1539181526.366309
"[['4', 149.5355191230774]]",1539181553.908413
"[['3', 200.8430449962616]]",1539181605.191038
"[['1', 303.95942211151123]]",1539181708.307223
"[['2', 116.73179578781128]]",1539182007.671042
"[['1', 116.63686895370483]]",1539182393.760988
"[['2', 132.6564610004425]]",1539183777.041138
"[['3', 190.54033517837524]]",1539184159.579943
