Button,Time
"[['3', 213.64197397232056]]",1539778358.733376
"[['1', 316.22636103630066]]",1539778461.298564
"[['3', 348.8038649559021]]",1539778493.876085
"[['3', 365.29193592071533]]",1539778510.36422
"[['2', 374.8541078567505]]",1539778519.950853
"[['2', 387.8739809989929]]",1539778532.97215
"[['1', 404.2638909816742]]",1539778549.360279
"[['1', 407.60599994659424]]",1539778552.678265
"[['3', 100.08576703071594]]",1539778956.521717
"[['1', 116.57933783531189]]",1539778972.993487
"[['2', 136.1791169643402]]",1539778992.616779
"[['1', 165.84482789039612]]",1539779022.259104
"[['1', 191.969664812088]]",1539779048.384086
"[['2', 99.16948795318604]]",1539779274.874494
"[['2', 106.87150406837463]]",1539779282.576559
"[['3', 129.2968020439148]]",1539779305.001721
"[['1', 110.03827595710754]]",1539779627.455648
"[['1', 172.26313495635986]]",1539779689.674705
"[['1', 179.97825503349304]]",1539779697.39469
"[['1', 183.79873085021973]]",1539779701.211682
"[['1', 206.574285030365]]",1539779724.002297
"[['1', 220.42581486701965]]",1539779739.191139
"[['2', 182.21788501739502]]",1539780025.617106
"[['3', 220.98064303398132], ['4', 221.01380109786987]]",1539780063.595924
"[['3', 120.15578603744507]]",1539780495.734668
"[['2', 124.42277908325195]]",1539780499.769504
"[['1', 146.14253401756287], ['1', 146.37560200691223]]",1539780854.567973
"[['1', 153.26086592674255]]",1539780862.253691
"[['1', 165.43382787704468]]",1539780874.391088
"[['1', 171.03549695014954]]",1539780878.392451
"[['1', 171.54923105239868]]",1539780878.842243
"[['1', 172.0839719772339]]",1539780879.377063
"[['2', 228.9359540939331]]",1539780936.89502
"[['1', 85.30368185043335]]",1539781214.418203
"[['1', 227.08445692062378]]",1539781356.213561
