,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
7549,"{'x': 1045.8867, 'y': 560.9598}",True,"{'avg': {'x': 1074.0048, 'y': 552.7865}, 'pcenter': {'x': 0.5025, 'y': 0.5444}, 'psize': 30.6116, 'raw': {'x': 1068.7474, 'y': 545.085}}","{'x': 1051.2668, 'y': 553.1646}","{'avg': {'x': 1013.7433, 'y': 562.3576}, 'pcenter': {'x': 0.6438, 'y': 0.5478}, 'psize': 30.9258, 'raw': {'x': 1033.7863, 'y': 561.2441}}",7,12083667,1553716502.995,7,1033.7863,561.2441,1068.7474,545.085,1051.26685,553.16455,12,64,1,/variabl,0.0,1553716500.679015
7550,"{'x': 1046.287, 'y': 560.486}",True,"{'avg': {'x': 1073.8175, 'y': 552.6661}, 'pcenter': {'x': 0.5025, 'y': 0.5445}, 'psize': 30.5661, 'raw': {'x': 1072.7081, 'y': 552.3105}}","{'x': 1045.1527, 'y': 561.4315}","{'avg': {'x': 1014.1914, 'y': 563.1269}, 'pcenter': {'x': 0.6437, 'y': 0.5479}, 'psize': 31.0553, 'raw': {'x': 1017.5972, 'y': 570.5526}}",7,12083710,1553716503.038,7,1017.5972,570.5526,1072.7081,552.3105,1045.15265,561.43155,12,64,1,/variabl,0.0,1553716500.679015
7551,"{'x': 1047.2584, 'y': 560.0005}",True,"{'avg': {'x': 1072.8877, 'y': 552.3124}, 'pcenter': {'x': 0.5025, 'y': 0.5444}, 'psize': 30.6202, 'raw': {'x': 1064.3491, 'y': 549.5569}}","{'x': 1039.0769, 'y': 567.6907}","{'avg': {'x': 1014.2245, 'y': 565.2029}, 'pcenter': {'x': 0.6437, 'y': 0.548}, 'psize': 30.9627, 'raw': {'x': 1013.8046, 'y': 585.8245}}",7,12083744,1553716503.072,7,1013.8046,585.8245,1064.3491,549.5569,1039.07685,567.6907,12,64,1,/variabl,0.0,1553716500.679015
7552,"{'x': 1047.8862, 'y': 559.715}",True,"{'avg': {'x': 1072.3362, 'y': 552.8746}, 'pcenter': {'x': 0.5027, 'y': 0.5443}, 'psize': 30.6233, 'raw': {'x': 1067.3433, 'y': 559.5598}}","{'x': 1050.6248, 'y': 570.7505}","{'avg': {'x': 1015.9945, 'y': 566.6895}, 'pcenter': {'x': 0.6441, 'y': 0.5479}, 'psize': 30.9856, 'raw': {'x': 1033.9062, 'y': 581.9412}}",7,12083788,1553716503.116,7,1033.9062,581.9412,1067.3433,559.5598,1050.62475,570.7505,12,64,1,/variabl,0.0,1553716500.679015
7553,"{'x': 1048.2303, 'y': 559.6928}",True,"{'avg': {'x': 1255.785, 'y': 524.9454}, 'pcenter': {'x': 0.5042, 'y': 0.5439}, 'psize': 30.6235, 'raw': {'x': 1255.785, 'y': 524.9454}}","{'x': 1224.5801, 'y': 519.3398}","{'avg': {'x': 1193.3752, 'y': 513.7343}, 'pcenter': {'x': 0.6454, 'y': 0.5475}, 'psize': 31.1573, 'raw': {'x': 1193.3752, 'y': 513.7343}}",7,12083821,1553716503.149,7,1193.3752,513.7343,1255.785,524.9454,1224.5801000000001,519.33985,12,64,1,/variabl,0.0,1553716500.679015
7554,"{'x': 1061.8184, 'y': 556.1765}",True,"{'avg': {'x': 1227.1156, 'y': 518.8062}, 'pcenter': {'x': 0.504, 'y': 0.5439}, 'psize': 30.6844, 'raw': {'x': 1227.1156, 'y': 518.8062}}","{'x': 1212.9622, 'y': 517.4532}","{'avg': {'x': 1198.8087, 'y': 516.1002}, 'pcenter': {'x': 0.6454, 'y': 0.5475}, 'psize': 30.974, 'raw': {'x': 1198.8087, 'y': 516.1002}}",7,12083855,1553716503.183,7,1198.8087,516.1002,1227.1156,518.8062,1212.96215,517.4531999999999,12,64,1,/variabl,0.0,1553716500.679015
7555,"{'x': 1074.0452, 'y': 552.7681}",True,"{'avg': {'x': 1228.7587, 'y': 517.178}, 'pcenter': {'x': 0.504, 'y': 0.5439}, 'psize': 30.7334, 'raw': {'x': 1230.3976, 'y': 515.554}}","{'x': 1212.075, 'y': 511.3755}","{'avg': {'x': 1196.2773, 'y': 511.643}, 'pcenter': {'x': 0.6454, 'y': 0.5475}, 'psize': 30.9059, 'raw': {'x': 1193.7524, 'y': 507.1971}}",7,12083899,1553716503.227,7,1193.7524,507.1971,1230.3976,515.554,1212.075,511.37555,12,64,1,/variabl,0.0,1553716500.679015
7556,"{'x': 1085.6475, 'y': 549.8423}",True,"{'avg': {'x': 1229.5916, 'y': 516.4321}, 'pcenter': {'x': 0.5041, 'y': 0.5439}, 'psize': 30.6974, 'raw': {'x': 1231.238, 'y': 514.9577}}","{'x': 1206.2363, 'y': 522.2988}","{'avg': {'x': 1191.2375, 'y': 517.66}, 'pcenter': {'x': 0.6455, 'y': 0.5476}, 'psize': 30.8825, 'raw': {'x': 1181.2347, 'y': 529.64}}",7,12083933,1553716503.261,7,1181.2347,529.64,1231.238,514.9577,1206.2363500000001,522.29885,12,64,1,/variabl,0.0,1553716500.679015
7557,"{'x': 1094.2418, 'y': 547.5414}",True,"{'avg': {'x': 1232.5833, 'y': 518.2378}, 'pcenter': {'x': 0.5041, 'y': 0.5439}, 'psize': 30.6579, 'raw': {'x': 1241.4321, 'y': 523.6104}}","{'x': 1214.1013, 'y': 529.3812}","{'avg': {'x': 1190.0885, 'y': 522.0893}, 'pcenter': {'x': 0.6455, 'y': 0.5476}, 'psize': 30.8563, 'raw': {'x': 1186.7706, 'y': 535.1521}}",7,12083967,1553716503.295,7,1186.7706,535.1521,1241.4321,523.6104,1214.10135,529.38125,12,64,1,/variabl,0.0,1553716500.679015
7558,"{'x': 1102.2695, 'y': 545.458}",True,"{'avg': {'x': 1234.5146, 'y': 522.7152}, 'pcenter': {'x': 0.5041, 'y': 0.544}, 'psize': 30.8984, 'raw': {'x': 1241.9847, 'y': 540.2521}}","{'x': 1219.5526, 'y': 532.3964}","{'avg': {'x': 1191.4919, 'y': 522.6276}, 'pcenter': {'x': 0.6455, 'y': 0.5476}, 'psize': 30.7837, 'raw': {'x': 1197.1205, 'y': 524.5406}}",7,12084001,1553716503.329,7,1197.1205,524.5406,1241.9847,540.2521,1219.5526,532.39635,12,64,1,/variabl,0.0,1553716500.679015
