Button,Time
"[['1', 345.62302899360657]]",1539195991.811931
"[['2', 441.7805688381195]]",1539196088.993308
"[['2', 89.44645690917969]]",1539196328.302919
"[['3', 144.35601806640625]]",1539196383.236778
"[['3', 160.59681606292725]]",1539196399.480071
"[['3', 203.27306699752808]]",1539196726.585665
"[['2', 169.4429910182953]]",1539197004.709766
"[['3', 209.91775512695312]]",1539197043.721727
"[['escape', 12.310137033462524]]",1539197253.835868
"[['escape', 13.297568082809448], ['escape', 13.444964170455933], ['escape', 13.594115018844604], ['escape', 13.74510407447815]]",1539197255.370207
"[['escape', 13.909801006317139]]",1539197255.458088
"[['escape', 14.061337947845459]]",1539197255.587067
"[['escape', 14.227950096130371]]",1539197255.753513
"[['escape', 14.379285097122192]]",1539197255.905009
"[['1', 50.47385096549988]]",1539197292.969515
"[['2', 138.62948608398438]]",1539197714.457421
"[['3', 106.95445108413696]]",1539197981.143779
"[['h', 138.60745191574097]]",1539198012.217167
"[['3', 195.21596503257751]]",1539198068.825937
"[['1', 237.90325498580933]]",1539198364.19723
