Button,Time
"[['3', 182.76001691818237]]",1554148616.972246
"[['3', 272.7714490890503]]",1554148706.434086
"[['4', 301.3467619419098]]",1554148735.009414
"[['3', 347.12810707092285]]",1554148780.790672
"[['1', 435.1910049915314]]",1554148868.853625
"[['3', 441.7581639289856]]",1554148875.420809
"[['3', 135.29853677749634]]",1554149139.345696
"[['3', 161.64548182487488]]",1554149165.649198
"[['3', 100.74098491668701]]",1554149420.232243
"[['3', 200.59576988220215]]",1554149520.635972
"[['1', 221.09504985809326]]",1554149835.571462
"[['3', 222.02635788917542]]",1554149836.142503
"[['4', 135.72168493270874]]",1554150367.224693
"[['3', 161.28239703178406], ['3', 161.57284784317017]]",1554150393.836726
"[['4', 175.96323895454407], ['4', 176.37483191490173]]",1554150408.69164
"[['4', 22.803066968917847]]",1554150555.541099
"[['1', 148.09905195236206]]",1554150681.508613
"[['3', 183.66512489318848]]",1554150716.403236
"[['space', 196.516685962677]]",1554150731.86385
"[['4', 201.8837389945984], ['4', 202.13371396064758], ['4', 202.31809186935425], ['4', 202.48382902145386], ['4', 202.64023995399475]]",1554150735.976541
"[['1', 213.42853784561157], ['1', 213.7017159461975], ['1', 213.9545600414276], ['2', 213.98741102218628], ['3', 214.0890769958496], ['4', 214.12158703804016], ['1', 214.40447783470154], ['2', 214.47286200523376], ['4', 214.58874893188477]]",1554150747.885788
"[['4', 230.06029200553894], ['4', 230.36017084121704]]",1554150763.803342
"[['1', 165.0983190536499]]",1554151000.251163
"[['4', 176.3770260810852]]",1554151011.166457
"[['4', 186.07568216323853]]",1554151019.636259
"[['3', 212.600732088089]]",1554151046.161478
"[['3', 120.02571988105774], ['4', 120.14517402648926], ['2', 120.38957285881042], ['3', 120.3904938697815], ['4', 120.41395688056946]]",1554151257.631023
"[['2', 123.33579897880554]]",1554151261.169627
"[['space', 152.0336570739746]]",1554151289.241064
"[['1', 156.2357840538025]]",1554151293.443136
"[['4', 184.5055389404297], ['4', 185.24029302597046], ['1', 185.6577570438385], ['2', 185.97046494483948]]",1554151323.20719
"[['3', 186.17837595939636], ['4', 186.17919206619263]]",1554151323.38584
"[['2', 186.81227087974548]]",1554151324.019645
"[['3', 186.96293306350708]]",1554151324.170223
"[['2', 188.04101490974426], ['2', 188.37414407730103], ['3', 188.50813007354736]]",1554151326.819121
"[['4', 195.58662104606628]]",1554151334.127173
"[['4', 213.59840488433838]]",1554151352.533267
"[['3', 221.87888884544373]]",1554151359.601989
