Button,Time
"[['4', 184.36540699005127], ['4', 184.93191003799438]]",1538575919.586494
"[['4', 219.30783820152283]]",1538575953.563322
"[['1', 261.78873109817505]]",1538575996.044301
"[['2', 290.4469871520996]]",1538576024.77061
"[['2', 132.10251688957214]]",1538576801.103515
"[['2', 83.94846701622009]]",1538577145.281442
"[['2', 84.28227400779724]]",1538577145.581547
"[['2', 84.81630897521973]]",1538577146.115136
"[['3', 88.11844611167908]]",1538577149.417415
"[['2', 92.38586091995239]]",1538577153.684641
"[['1', 52.67890810966492]]",1538577873.682074
"[['2', 55.12486004829407]]",1538578727.407743
"[['1', 13.79981803894043]]",1538579715.026335
"[['3', 154.31253790855408]]",1538579856.738425
"[['3', 25.87262797355652]]",1538580018.990075
"[['3', 52.83108997344971]]",1538580045.948445
"[['3', 118.65208697319031]]",1538580113.971225
"[['2', 158.43196606636047]]",1538580152.516276
