Button,Time
"[['space', 208.53219199180603]]",1554920060.574576
"[['3', 453.04485297203064]]",1554920305.853429
"[['4', 492.45762491226196]]",1554920346.266726
"[['2', 110.02453589439392]]",1554920571.3236
"[['4', 132.5564968585968]]",1554920596.581203
"[['2', 159.8820059299469]]",1554920622.173118
"[['4', 107.76730108261108]]",1554920923.837776
"[['2', 125.1887481212616]]",1554920939.410008
"[['2', 155.3825831413269], ['1', 156.08321619033813], ['3', 156.50046515464783]]",1554920969.965438
"[['1', 163.5854470729828]]",1554920979.973001
"[['4', 217.40310502052307], ['3', 219.45299410820007]]",1554921033.556951
"[['3', 276.8848271369934]]",1554921741.133901
"[['2', 101.7697548866272]]",1554922374.194146
"[['1', 142.74908995628357]]",1554922415.291362
