,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
8277,"{'x': 1345.4204, 'y': 633.7344}",True,"{'avg': {'x': 1340.3929, 'y': 597.5137}, 'pcenter': {'x': 0.4848, 'y': 0.3579}, 'psize': 26.728, 'raw': {'x': 1353.9587, 'y': 610.2074}}","{'x': 1357.4492, 'y': 648.2538}","{'avg': {'x': 1365.3657, 'y': 674.0473}, 'pcenter': {'x': 0.6446, 'y': 0.3618}, 'psize': 27.7634, 'raw': {'x': 1360.9397, 'y': 686.3002}}",7,759404627,1570569951.315,6,1360.9397,686.3002,1353.9587,610.2074,1357.4492,648.2538,25,58,2,/sustain,6.0,1570569950.6821
8278,"{'x': 1346.5579, 'y': 634.5064}",True,"{'avg': {'x': 1341.2391, 'y': 595.9368}, 'pcenter': {'x': 0.4848, 'y': 0.3575}, 'psize': 25.6682, 'raw': {'x': 1348.0914, 'y': 569.5443}}","{'x': 1351.3013, 'y': 626.6497}","{'avg': {'x': 1364.3821, 'y': 675.1553}, 'pcenter': {'x': 0.6446, 'y': 0.3617}, 'psize': 27.4259, 'raw': {'x': 1354.511, 'y': 683.755}}",7,759404672,1570569951.36,6,1354.511,683.755,1348.0914,569.5443,1351.3011999999999,626.6496500000001,25,58,2,/sustain,6.0,1570569950.6821
8279,"{'x': 1347.0684, 'y': 633.4525}",True,"{'avg': {'x': 1342.4237, 'y': 594.9672}, 'pcenter': {'x': 0.4848, 'y': 0.3577}, 'psize': 26.0391, 'raw': {'x': 1346.301, 'y': 587.2596}}","{'x': 1340.2407, 'y': 631.3713}","{'avg': {'x': 1362.1917, 'y': 675.3258}, 'pcenter': {'x': 0.6445, 'y': 0.3617}, 'psize': 27.0994, 'raw': {'x': 1334.1804, 'y': 675.4831}}",7,759404706,1570569951.394,6,1334.1804,675.4831,1346.301,587.2596,1340.2406999999998,631.37135,25,58,2,/sustain,6.0,1570569950.6821
8280,"{'x': 1347.8954, 'y': 633.4955}",True,"{'avg': {'x': 1343.0514, 'y': 594.7345}, 'pcenter': {'x': 0.4848, 'y': 0.3578}, 'psize': 25.7823, 'raw': {'x': 1337.2791, 'y': 592.0092}}","{'x': 1343.8302, 'y': 632.5134}","{'avg': {'x': 1360.8136, 'y': 675.6956}, 'pcenter': {'x': 0.6445, 'y': 0.3617}, 'psize': 26.6571, 'raw': {'x': 1350.3813, 'y': 673.0175}}",7,759404739,1570569951.427,6,1350.3813,673.0175,1337.2791,592.0092,1343.8301999999999,632.51335,25,58,2,/sustain,6.0,1570569950.6821
8281,"{'x': 1348.6255, 'y': 633.8454}",True,"{'avg': {'x': 1343.6716, 'y': 592.9319}, 'pcenter': {'x': 0.4848, 'y': 0.3577}, 'psize': 25.5252, 'raw': {'x': 1342.564, 'y': 569.5748}}","{'x': 1345.2378, 'y': 617.5459}","{'avg': {'x': 1359.2302, 'y': 675.3674}, 'pcenter': {'x': 0.6446, 'y': 0.3616}, 'psize': 26.5631, 'raw': {'x': 1347.9116, 'y': 665.5169}}",7,759404773,1570569951.461,6,1347.9116,665.5169,1342.564,569.5748,1345.2377999999999,617.54585,25,58,2,/sustain,6.0,1570569950.6821
8282,"{'x': 1348.908, 'y': 632.7668}",True,"{'avg': {'x': 1344.4954, 'y': 591.6084}, 'pcenter': {'x': 0.4848, 'y': 0.3578}, 'psize': 25.139, 'raw': {'x': 1347.4199, 'y': 580.3632}}","{'x': 1340.9181, 'y': 628.2302}","{'avg': {'x': 1357.2181, 'y': 675.5026}, 'pcenter': {'x': 0.6444, 'y': 0.3617}, 'psize': 26.2494, 'raw': {'x': 1334.4163, 'y': 676.0973}}",7,759404817,1570569951.505,6,1334.4163,676.0973,1347.4199,580.3632,1340.9181,628.2302500000001,25,58,2,/sustain,6.0,1570569950.6821
8283,"{'x': 1349.2982, 'y': 632.4608}",True,"{'avg': {'x': 1344.4683, 'y': 591.3605}, 'pcenter': {'x': 0.4847, 'y': 0.358}, 'psize': 25.0772, 'raw': {'x': 1335.3423, 'y': 587.633}}","{'x': 1340.8281, 'y': 628.5469}","{'avg': {'x': 1355.929, 'y': 675.3319}, 'pcenter': {'x': 0.6445, 'y': 0.3618}, 'psize': 26.5935, 'raw': {'x': 1346.314, 'y': 669.4607}}",7,759404850,1570569951.538,6,1346.314,669.4607,1335.3423,587.633,1340.82815,628.54685,25,58,2,/sustain,6.0,1570569950.6821
8284,"{'x': 1348.8661, 'y': 629.0582}",True,"{'avg': {'x': 1344.4324, 'y': 592.0424}, 'pcenter': {'x': 0.4848, 'y': 0.3584}, 'psize': 25.1805, 'raw': {'x': 1339.641, 'y': 614.7982}}","{'x': 1346.6062, 'y': 660.067}","{'avg': {'x': 1355.2111, 'y': 677.4999}, 'pcenter': {'x': 0.6445, 'y': 0.3623}, 'psize': 27.1919, 'raw': {'x': 1353.5715, 'y': 705.3358}}",7,759404893,1570569951.581,6,1353.5715,705.3358,1339.641,614.7982,1346.60625,660.067,25,58,2,/sustain,6.0,1570569950.6821
8285,"{'x': 1349.0452, 'y': 628.4144}",True,"{'avg': {'x': 1344.2448, 'y': 590.9457}, 'pcenter': {'x': 0.4848, 'y': 0.3581}, 'psize': 25.0287, 'raw': {'x': 1336.0034, 'y': 576.9343}}","{'x': 1350.6523, 'y': 637.0831}","{'avg': {'x': 1355.3391, 'y': 679.0226}, 'pcenter': {'x': 0.6446, 'y': 0.3624}, 'psize': 26.8709, 'raw': {'x': 1365.3014, 'y': 697.232}}",7,759404927,1570569951.615,6,1365.3014,697.232,1336.0034,576.9343,1350.6524,637.0831499999999,25,58,2,/sustain,6.0,1570569950.6821
8286,"{'x': 1349.6016, 'y': 630.5911}",True,"{'avg': {'x': 1343.0171, 'y': 593.8226}, 'pcenter': {'x': 0.4847, 'y': 0.3586}, 'psize': 25.2992, 'raw': {'x': 1323.598, 'y': 641.7037}}","{'x': 1357.7053, 'y': 668.936}","{'avg': {'x': 1357.3123, 'y': 680.5513}, 'pcenter': {'x': 0.6448, 'y': 0.3622}, 'psize': 27.2118, 'raw': {'x': 1391.8126, 'y': 696.1683}}",7,759404961,1570569951.649,6,1391.8126,696.1683,1323.598,641.7037,1357.7053,668.936,25,58,2,/sustain,6.0,1570569950.6821
