Button,Time
"[['3', 1334.3934979438782]]",1540405682.305103
"[['3', 1533.383861064911]]",1540405881.318244
"[['2', 172.71414995193481]]",1540407276.645898
"[['2', 270.542298078537]]",1540407662.672509
"[['2', 299.6435980796814], ['1', 300.0082061290741]]",1540407691.509512
"[['3', 70.29302215576172]]",1540407990.911906
"[['3', 102.82008504867554]]",1540408022.536185
"[['2', 192.9924509525299]]",1540408112.733941
"[['3', 199.64596104621887]]",1540408119.401484
"[['2', 92.83002805709839]]",1540408407.595278
"[['1', 117.91832304000854]]",1540408431.919674
"[['2', 130.065612077713]]",1540408444.878827
"[['2', 155.38898301124573]]",1540408469.366029
