Button,Time
"[['2', 447.8285758495331]]",1556029315.839222
"[['1', 480.9923038482666]]",1556029348.945017
"[['1', 207.02373814582825]]",1556029736.454369
"[['4', 216.66829204559326]]",1556029745.340638
"[['3', 71.53058886528015]]",1556029967.937361
"[['3', 72.0440559387207]]",1556029968.462329
"[['c', 100.1751480102539]]",1556029996.592176
"[['space', 13.12584400177002]]",1556030227.28009
"[['1', 170.39231204986572]]",1556030842.59783
"[['1', 77.62397599220276]]",1556031070.906104
"[['1', 42.2695050239563]]",1556031711.803668
