Button,Time
"[['2', 328.7014060020447]]",1539801123.023316
"[['2', 364.06468987464905]]",1539801158.656059
"[['3', 370.36576795578003]]",1539801165.15767
"[['2', 393.73888206481934]]",1539801188.060842
"[['space', 397.59004497528076]]",1539801191.911739
"[['2', 435.67767095565796]]",1539801230.023366
"[['2', 442.00686502456665]]",1539801236.647283
"[['3', 62.398627042770386]]",1539801518.149694
"[['space', 87.55710005760193]]",1539801844.222876
"[['2', 99.19546294212341]]",1539801855.880505
"[['3', 142.088613986969]]",1539801898.757996
"[['2', 145.37317895889282]]",1539801902.042163
"[['2', 199.41245698928833], ['2', 199.85128712654114]]",1539801956.548051
"[['2', 200.24079298973083]]",1539801956.926136
"[['3', 131.43230509757996]]",1539802223.695357
"[['1', 165.82192015647888], ['1', 166.52441120147705]]",1539802258.423878
"[['1', 187.47918510437012]]",1539802280.318087
"[['2', 208.4594419002533]]",1539802620.694665
"[['2', 110.94391393661499]]",1539802928.943138
"[['2', 144.72003388404846]]",1539802961.387038
"[['2', 112.06538701057434], ['2', 112.69981622695923]]",1539803322.218567
"[['3', 127.72452807426453], ['3', 127.95439910888672], ['3', 128.17443895339966]]",1539803658.083733
"[['2', 170.05081295967102], ['3', 170.36585998535156], ['4', 170.8073329925537]]",1539803700.474673
