Button,Time
"[['3', 567.2071189880371]]",1538148213.935321
"[['3', 590.7806098461151]]",1538148236.842371
"[['3', 629.10981798172]]",1538148276.088196
"[['1', 634.0445549488068]]",1538148281.006787
"[['3', 653.6513588428497]]",1538148300.495869
"[['2', 675.148286819458]]",1538148321.219752
"[['1', 688.495386838913]]",1538148334.540469
"[['2', 707.6014938354492]]",1538148353.646644
"[['3', 742.9648139476776]]",1538148389.225399
"[['3', 66.2869131565094]]",1538148696.740341
"[['1', 78.96761012077332]]",1538148708.361249
"[['2', 140.20609211921692]]",1538148769.614415
"[['3', 156.41651797294617]]",1538148785.836045
"[['1', 22.153088092803955]]",1538149232.145877
"[['2', 130.39086508750916], ['1', 131.0639991760254]]",1538149341.082439
"[['1', 157.08140921592712]]",1538149367.074126
"[['2', 170.13498616218567]]",1538149380.127756
"[['1', 182.0904049873352]]",1538149392.898267
"[['3', 185.62616610527039]]",1538149396.132656
"[['3', 191.71065020561218]]",1538149402.600888
"[['2', 82.25560307502747]]",1538149607.617783
"[['4', 140.30903911590576]]",1538149665.836795
"[['1', 106.90697503089905]]",1538149943.54349
"[['1', 121.04501795768738]]",1538149956.497202
"[['1', 201.48774695396423]]",1538150037.606807
"[['3', 49.85859704017639]]",1538150541.320144
"[['3', 177.23356795310974], ['4', 177.28434300422668], ['4', 177.8514368534088], ['4', 178.04137086868286]]",1538150668.594093
