Button,Time
"[['2', 221.35867714881897]]",1556309388.878851
"[['3', 373.2927520275116]]",1556309541.42807
"[['2', 389.86528611183167]]",1556309557.550683
"[['3', 431.88587713241577]]",1556309599.429994
"[['3', 116.25292301177979]]",1556309908.084772
"[['2', 167.30448198318481]]",1556309959.150699
"[['2', 180.17534112930298]]",1556309972.016683
"[['2', 186.58806800842285]]",1556309978.407393
"[['1', 183.56337714195251], ['1', 183.79638600349426]]",1556310550.642464
"[['4', 236.59594106674194], ['4', 237.52949714660645]]",1556310603.806871
"[['1', 339.9243950843811]]",1556310705.013735
"[['2', 279.3048520088196]]",1556311650.17472
"[['2', 201.4100160598755]]",1556311953.807542
"[['4', 211.92411589622498]]",1556312357.151012
"[['1', 108.92137098312378]]",1556312624.092516
"[['3', 125.17944598197937]]",1556312639.893263
"[['2', 190.34917998313904]]",1556312707.635387
"[['4', 193.06732201576233]]",1556312707.780859
"[['5', 126.46379494667053]]",1556313012.034998
