Button,Time
"[['1', 426.8961977958679]]",1553697171.233016
"[['2', 436.6716058254242]]",1553697181.018839
"[['2', 446.4982669353485]]",1553697190.87264
"[['3', 108.24313998222351]]",1553697470.280132
"[['2', 163.6114730834961]]",1553697525.648473
"[['1', 225.89810585975647]]",1553697587.935107
"[['1', 228.98229098320007]]",1553697591.019206
"[['1', 183.38875699043274]]",1553697843.421418
"[['1', 186.91448211669922]]",1553697846.918984
"[['2', 114.31454086303711]]",1553698088.363871
"[['2', 193.72771096229553]]",1553698167.777217
"[['space', 92.51870322227478]]",1553698364.621802
"[['2', 133.90912413597107]]",1553698406.055462
"[['3', 149.95512318611145]]",1553698422.589629
"[['2', 154.73648715019226]]",1553698427.878509
"[['2', 183.14128804206848]]",1553698455.244279
"[['3', 190.38079404830933]]",1553698464.887822
"[['4', 217.6742022037506], ['4', 217.8070731163025], ['4', 219.2721390724182]]",1553698491.416101
"[['1', 250.4508261680603]]",1553698523.159409
"[['2', 277.71364402770996]]",1553698549.816577
"[['3', 279.97743916511536], ['3', 280.07628417015076], ['3', 280.2765049934387]]",1553698554.971489
"[['1', 183.71598196029663]]",1553720629.187704
"[['1', 219.89359402656555]]",1553720665.349439
"[['2', 268.525377035141]]",1553720713.981254
"[['1', 160.52164697647095]]",1553721036.352089
"[['3', 100.15762782096863]]",1553721276.597305
"[['2', 142.73574686050415]]",1553721318.910735
"[['1', 207.14067101478577]]",1553721383.63112
