Button,Time
"[['1', 300.7139790058136]]",1539537065.426498
"[['2', 448.6477401256561]]",1539537213.557582
"[['2', 523.6368100643158]]",1539537288.349339
"[['3', 542.275995016098]]",1539537306.988467
"[['2', 547.1114401817322]]",1539537311.823831
"[['2', 133.76721596717834]]",1539537635.643866
"[['3', 147.5406529903412]]",1539537650.88245
"[['2', 180.08323693275452]]",1539537682.477145
"[['3', 183.73519206047058]]",1539537686.310373
"[['2', 188.95183897018433]]",1539537690.828353
"[['2', 192.4038770198822]]",1539537694.28072
"[['2', 207.57518196105957]]",1539537709.451424
"[['2', 215.11071610450745]]",1539537716.98719
"[['3', 105.93589997291565]]",1539537966.117415
"[['3', 120.34182691574097]]",1539537980.771967
"[['2', 136.96320009231567]]",1539537997.14478
"[['2', 147.56775403022766]]",1539538008.298399
"[['1', 148.7500479221344]]",1539538008.931702
"[['2', 164.6714630126953]]",1539538024.853032
"[['4', 170.10877299308777], ['4', 170.37394404411316], ['4', 170.5265290737152], ['4', 170.6934061050415], ['4', 170.85654306411743], ['4', 171.02586913108826], ['4', 171.40909695625305]]",1539538032.089426
"[['2', 191.3806791305542]]",1539538051.56193
"[['3', 198.11652898788452], ['2', 198.29903197288513]]",1539538059.164225
"[['3', 222.37465405464172]]",1539538082.556135
"[['3', 230.29212093353271]]",1539538090.473484
"[['2', 232.80932712554932]]",1539538094.092188
"[['3', 46.23287892341614]]",1539538217.649668
"[['3', 47.14577388763428]]",1539538217.782943
"[['3', 47.61256694793701]]",1539538218.249657
"[['3', 50.31289100646973]]",1539538220.950036
"[['3', 51.13037180900574]]",1539538222.784002
"[['3', 119.4388108253479]]",1539538291.055698
"[['2', 132.00880885124207]]",1539538302.693247
"[['2', 147.89511895179749]]",1539538318.532087
"[['3', 162.11775398254395], ['2', 162.48185086250305], ['3', 162.56785893440247], ['3', 163.04881286621094]]",1539538334.003695
"[['3', 163.46690678596497]]",1539538334.103821
"[['2', 167.2669529914856]]",1539538337.904071
"[['2', 169.9032928943634]]",1539538341.838723
"[['2', 173.85405898094177]]",1539538345.589777
"[['2', 190.24097800254822]]",1539538361.128371
"[['2', 217.02271795272827]]",1539538387.691899
"[['3', 235.95683789253235]]",1539538407.160823
"[['2', 133.9927020072937]]",1539538764.642454
"[['4', 140.57897210121155]]",1539538772.04509
"[['4', 143.81317496299744]]",1539538775.795279
"[['2', 168.7865810394287]]",1539538799.419843
"[['2', 177.106360912323]]",1539538807.739754
"[['4', 187.89389896392822]]",1539538818.709665
"[['2', 195.57359790802002]]",1539538826.261225
"[['2', 225.98808789253235]]",1539538857.073251
"[['1', 53.45600605010986]]",1539539000.151379
"[['4', 81.08562898635864]]",1539539026.77645
"[['2', 89.98375105857849]]",1539539035.646173
"[['3', 119.82887411117554]]",1539539065.906352
"[['2', 128.66428208351135]]",1539539074.326631
"[['3', 135.81582593917847]]",1539539081.478128
"[['2', 187.04891204833984]]",1539539132.711224
"[['4', 208.40720391273499]]",1539539155.101472
"[['2', 124.03278493881226]]",1539539376.039086
"[['2', 129.14879512786865]]",1539539380.474165
"[['1', 151.77506494522095]]",1539539403.315634
"[['2', 163.82663702964783]]",1539539415.186159
"[['4', 198.05827403068542]]",1539539450.68032
"[['3', 222.7969150543213]]",1539539474.12209
"[['3', 226.5306911468506]]",1539539477.856037
"[['4', 77.35059189796448], ['4', 77.60035300254822]]",1539539640.691225
"[['3', 92.63900899887085], ['3', 92.83857488632202], ['4', 93.0544080734253], ['3', 93.4034628868103]]",1539539656.280124
"[['2', 97.67088198661804]]",1539539660.181246
"[['2', 124.28190588951111]]",1539539687.307189
"[['3', 135.52180099487305], ['2', 135.52279686927795]]",1539539698.978053
"[['2', 139.85393285751343]]",1539539702.794937
"[['1', 163.37551999092102]]",1539539725.918925
"[['2', 171.83001899719238]]",1539539734.306165
"[['2', 178.6996078491211], ['2', 178.9305338859558]]",1539539741.406603
"[['2', 187.70083785057068]]",1539539750.176939
