5.4102 	EXP 	window1: blendMode = 'avg'
5.4240 	EXP 	unnamed TextStim: autoDraw = True
5.4285 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 7.,  7.]), texRes=128, units='deg', win=Window(...))
5.4288 	EXP 	window1: blendMode = 'avg'
5.4411 	EXP 	unnamed ImageStim: autoDraw = True
5.7087 	DATA 	Keypress: return
5.7242 	EXP 	unnamed TextStim: autoDraw = False
5.7242 	EXP 	unnamed ImageStim: autoDraw = False
5.7251 	EXP 	New trial (rep=0, index=2): {}
5.7453 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=1.0, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=40)
5.7458 	EXP 	window1: blendMode = 'avg'
5.7584 	EXP 	unnamed TextStim: autoDraw = True
5.7634 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 7.,  7.]), texRes=128, units='deg', win=Window(...))
5.7638 	EXP 	window1: blendMode = 'avg'
5.7746 	EXP 	unnamed ImageStim: autoDraw = True
6.0170 	DATA 	Keypress: return
6.0236 	EXP 	unnamed TextStim: autoDraw = False
6.0236 	EXP 	unnamed ImageStim: autoDraw = False
6.0259 	EXP 	New trial (rep=0, index=3): {}
6.0684 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=1.0, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=40)
6.0689 	EXP 	window1: blendMode = 'avg'
6.0748 	EXP 	unnamed TextStim: autoDraw = True
6.0752 	EXP 	window1: blendMode = 'avg'
6.3060 	DATA 	Keypress: return
6.3242 	EXP 	unnamed TextStim: autoDraw = False
6.3248 	EXP 	New trial (rep=0, index=4): {}
6.3366 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=1.0, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=40)
6.3371 	EXP 	window1: blendMode = 'avg'
6.3577 	EXP 	unnamed TextStim: autoDraw = True
6.3620 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 7.,  7.]), texRes=128, units='deg', win=Window(...))
6.3655 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 7.,  7.]), texRes=128, units='deg', win=Window(...))
6.3663 	EXP 	window1: blendMode = 'avg'
6.3686 	EXP 	window1: blendMode = 'avg'
6.3743 	EXP 	unnamed ImageStim: pos = array([ 8.,  0.])
6.3743 	EXP 	unnamed ImageStim: pos = array([-8.,  0.])
6.3743 	EXP 	unnamed ImageStim: autoDraw = True
6.3743 	EXP 	unnamed ImageStim: autoDraw = True
6.3743 	EXP 	fixation: autoDraw = True
6.7007 	DATA 	Keypress: return
6.7079 	EXP 	unnamed TextStim: autoDraw = False
6.7079 	EXP 	unnamed ImageStim: autoDraw = False
6.7079 	EXP 	unnamed ImageStim: autoDraw = False
6.7079 	EXP 	fixation: autoDraw = False
6.7087 	EXP 	New trial (rep=0, index=5): {}
6.7244 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=1.0, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=40)
6.7248 	EXP 	window1: blendMode = 'avg'
6.7408 	EXP 	unnamed TextStim: autoDraw = True
6.7412 	EXP 	window1: blendMode = 'avg'
7.0160 	DATA 	Keypress: return
7.0240 	EXP 	unnamed TextStim: autoDraw = False
7.0243 	EXP 	New trial (rep=0, index=6): {}
