Button,Time
"[['4', 232.4441590309143]]",1555441683.468182
"[['3', 233.42971897125244]]",1555441684.453546
"[['1', 242.29868006706238]]",1555441693.334225
"[['3', 243.14492797851562]]",1555441694.168542
"[['1', 249.81337213516235]]",1555441700.837439
"[['3', 250.53188514709473]]",1555441701.555863
"[['2', 307.9212920665741]]",1555441758.944688
"[['2', 332.90723395347595]]",1555441783.931231
"[['1', 55.197251081466675]]",1555442083.098417
"[['4', 199.55343389511108]]",1555442229.091902
"[['1', 74.71476292610168]]",1555442460.117921
"[['3', 100.67436003684998]]",1555442486.077326
"[['3', 176.5521469116211]]",1555442561.955264
"[['2', 109.7573139667511]]",1555442872.057192
"[['2', 122.6782751083374]]",1555442884.977264
"[['4', 99.8110671043396]]",1555443242.056709
"[['3', 116.13887190818787], ['3', 116.17154383659363]]",1555443575.434591
"[['2', 177.3411738872528]]",1555443637.040042
"[['3', 114.49857807159424]]",1555443882.865439
"[['2', 210.49788212776184]]",1555443977.550104
"[['4', 93.56731390953064]]",1555444168.362393
