Button,Time
"[['2', 371.51741099357605]]",1539207037.822533
"[['1', 384.554025888443]]",1539207050.84322
"[['3', 391.3973889350891]]",1539207057.661928
"[['1', 410.4956729412079]]",1539207076.784766
"[['3', 426.7759780883789]]",1539207093.040644
"[['3', 178.27678203582764]]",1539208192.128042
"[['2', 201.1601881980896]]",1539208214.986431
"[['2', 210.83857107162476]]",1539208224.689906
"[['2', 147.39276790618896]]",1539208505.780212
"[['2', 93.13334393501282]]",1539208806.893196
"[['3', 168.0751028060913]]",1539208881.835079
"[['2', 193.9162118434906]]",1539208907.692498
"[['2', 102.18153500556946]]",1539209181.048114
"[['2', 115.38589215278625]]",1539209193.987005
"[['1', 128.52226209640503]]",1539209207.107386
"[['2', 135.20836997032166]]",1539209213.793749
"[['2', 138.1432011127472]]",1539209216.74322
"[['1', 164.0740349292755]]",1539209242.685511
"[['3', 89.3040030002594]]",1539209501.485545
"[['2', 141.21155405044556]]",1539209553.369461
"[['2', 109.54918003082275]]",1539209882.12596
"[['4', 122.45356893539429]]",1539209895.030653
