,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Stimulus Start
10,KIRSTEN_LAST,Memory,0,,,,,,,sunaaxjpzcnxligjtjq.jpg,,,,,0.759,1,,,,,,,,1530913979.198223,1530913977.139896
11,KIRSTEN_LAST,Memory,0,,,,,,,00529940519fa.jpg,,,,,0.489,2,,,,,,,,1530913982.550306,1530913980.561356
12,KIRSTEN_LAST,Memory,0,,,,,,,00193940928fa.jpg,,,,,0.597,1,,,,,,,,1530913985.750612,1530913983.773252
13,KIRSTEN_LAST,Memory,0,,,,,,,00265940128fb.jpg,,,,,0.422,4,,,,,,,,1530913988.951729,1530913986.966156
14,KIRSTEN_LAST,Memory,0,,,,,,,00700941121fa.jpg,,,,,0.531,1,,,,,,,,1530913992.153665,1530913990.173579
15,KIRSTEN_LAST,Memory,0,,,,,,,00970960627fa.jpg,,,,,1.504,2,,,,,,,,1530913995.353006,1530913993.36817
16,KIRSTEN_LAST,Memory,0,,,,,,,sunaavodbcpygkggnfp.jpg,,,,,1.431,3,,,,,,,,1530913998.638185,1530913996.659769
17,KIRSTEN_LAST,Memory,0,,,,,,,00598941031fa.jpg,,,,,1.151,1,,,,,,,,1530914001.855406,1530913999.873508
18,KIRSTEN_LAST,Memory,0,,,,,,,sunacxtcahkymosigud.jpg,,,,,0.535,2,,,,,,,,1530914005.073422,1530914003.09144
19,KIRSTEN_LAST,Memory,0,,,,,,,00130931230fa.jpg,,,,,0.956,3,,,,,,,,1530914008.275352,1530914006.288301
20,KIRSTEN_LAST,Memory,0,,,,,,,00779941205fa.jpg,,,,,1.155,3,,,,,,,,1530914011.475747,1530914009.48963
21,KIRSTEN_LAST,Memory,0,,,,,,,sunaamvxnvouicstkjb.jpg,,,,,0.943,1,,,,,,,,1530914014.692919,1530914012.702508
22,KIRSTEN_LAST,Memory,0,,,,,,,sunaakgekhjklxmvulj.jpg,,,,,0.003,2,,,,,,,,1530914017.912065,1530914015.918716
23,KIRSTEN_LAST,Memory,0,,,,,,,sunbasypfgzjtomktmu.jpg,,,,,0.688,4,,,,,,,,1530914021.111524,1530914019.125908
24,KIRSTEN_LAST,Memory,0,,,,,,,sunacbeefkxpymwevpk.jpg,,,,,0.823,2,,,,,,,,1530914024.313504,1530914022.326947
25,KIRSTEN_LAST,Memory,0,,,,,,,sunagdzlvkqtpnfxfcg.jpg,,,,,1.071,3,,,,,,,,1530914027.514757,1530914025.528176
26,KIRSTEN_LAST,Memory,0,,,,,,,00770941201fa.jpg,,,,,1.316,1,,,,,,,,1530914030.798801,1530914028.81761
27,KIRSTEN_LAST,Memory,0,,,,,,,00811960530fa.jpg,,,,,0.855,1,,,,,,,,1530914034.032769,1530914032.045774
28,KIRSTEN_LAST,Memory,0,,,,,,,sunaakvmbftkrgqhjun.jpg,,,,,0.997,1,,,,,,,,1530914037.234228,1530914035.255539
29,KIRSTEN_LAST,Memory,0,,,,,,,sunadsgmtznewzyasnk.jpg,,,,,1.004,3,,,,,,,,1530914040.435071,1530914038.449318
30,KIRSTEN_LAST,Memory,0,,,,,,,00773941201fa.jpg,,,,,1.012,2,,,,,,,,1530914043.652613,1530914041.659695
31,KIRSTEN_LAST,Memory,0,,,,,,,sunaampvucecsfbdafn.jpg,,,,,1.181,3,,,,,,,,1530914046.853736,1530914044.874562
32,KIRSTEN_LAST,Memory,0,,,,,,,00071941031fa.jpg,,,,,1.039,2,,,,,,,,1530914050.055134,1530914048.068213
33,KIRSTEN_LAST,Memory,0,,,,,,,sunafvcflzhlqloapyo.jpg,,,,,1.089,4,,,,,,,,1530914053.25596,1530914051.2693
34,KIRSTEN_LAST,Memory,0,,,,,,,sunaaexqbtdswxrqjvz.jpg,,,,,0.834,4,,,,,,,,1530914056.472988,1530914054.490311
35,KIRSTEN_LAST,Memory,0,,,,,,,00127931230fa.jpg,,,,,1.217,2,,,,,,,,1530914059.758202,1530914057.776745
36,KIRSTEN_LAST,Memory,0,,,,,,,00119931230fb.jpg,,,,,1.022,1,,,,,,,,1530914062.959579,1530914060.972816
37,KIRSTEN_LAST,Memory,0,,,,,,,sunahedfrhtcwpneund.jpg,,,,,0.805,1,,,,,,,,1530914066.159837,1530914064.174053
38,KIRSTEN_LAST,Memory,0,,,,,,,00111931230fb.jpg,,,,,0.636,2,,,,,,,,1530914069.378107,1530914067.394393
