Button,Time
"[['1', 51.29158806800842]]",1540150179.013027
"[['2', 136.22342014312744]]",1540150263.921921
"[['2', 118.33921003341675]]",1540150600.865564
"[['2', 87.55315494537354]]",1540150884.874143
"[['3', 101.95458507537842]]",1540151617.647414
"[['3', 167.92489194869995]]",1540151683.619071
"[['2', 194.1199290752411]]",1540152019.011728
"[['3', 165.08922910690308]]",1540152286.799585
"[['3', 165.2554030418396]]",1540152286.965791
"[['2', 139.124125957489], ['3', 139.1250410079956]]",1540152565.022267
